dll,name,address
KERNEL32.dll,CreateFileA,0x404014
KERNEL32.dll,LocalAlloc,0x404018
KERNEL32.dll,Sleep,0x40401c
KERNEL32.dll,CreateThread,0x404020
KERNEL32.dll,CreateMutexA,0x404024
KERNEL32.dll,CopyFileW,0x404028
KERNEL32.dll,GetFileSize,0x40402c
KERNEL32.dll,CreateProcessA,0x404030
KERNEL32.dll,GetEnvironmentVariableW,0x404034
KERNEL32.dll,GetShortPathNameW,0x404038
KERNEL32.dll,GetStartupInfoA,0x40403c
KERNEL32.dll,GetModuleHandleA,0x404040
KERNEL32.dll,ReadFile,0x404044
KERNEL32.dll,LocalFree,0x404048
KERNEL32.dll,GetLastError,0x40404c
KERNEL32.dll,GetModuleFileNameW,0x404050
KERNEL32.dll,CloseHandle,0x404054
USER32.dll,SendMessageA,0x40411c
USER32.dll,FindWindowExA,0x404120
ADVAPI32.dll,RegQueryValueExA,0x404000
ADVAPI32.dll,RegCloseKey,0x404004
ADVAPI32.dll,RegSetValueExW,0x404008
ADVAPI32.dll,RegOpenKeyExA,0x40400c
SHELL32.dll,SHGetSpecialFolderPathW,0x404110
SHELL32.dll,ShellExecuteW,0x404114
MSVCRT.dll,_controlfp,0x40405c
MSVCRT.dll,_except_handler3,0x404060
MSVCRT.dll,__set_app_type,0x404064
MSVCRT.dll,memset,0x404068
MSVCRT.dll,__CxxFrameHandler,0x40406c
MSVCRT.dll,strlen,0x404070
MSVCRT.dll,sprintf,0x404074
MSVCRT.dll,memcpy,0x404078
MSVCRT.dll,strcpy,0x40407c
MSVCRT.dll,strcat,0x404080
MSVCRT.dll,_mbsnbcpy,0x404084
MSVCRT.dll,_mbsnbcmp,0x404088
MSVCRT.dll,atol,0x40408c
MSVCRT.dll,_mbscmp,0x404090
MSVCRT.dll,atoi,0x404094
MSVCRT.dll,fclose,0x404098
MSVCRT.dll,fwrite,0x40409c
MSVCRT.dll,fopen,0x4040a0
MSVCRT.dll,strstr,0x4040a4
MSVCRT.dll,wcslen,0x4040a8
MSVCRT.dll,wcstombs,0x4040ac
MSVCRT.dll,setlocale,0x4040b0
MSVCRT.dll,wcscmp,0x4040b4
MSVCRT.dll,wcscat,0x4040b8
MSVCRT.dll,mbstowcs,0x4040bc
MSVCRT.dll,wcsrchr,0x4040c0
MSVCRT.dll,wcscpy,0x4040c4
MSVCRT.dll,getenv,0x4040c8
MSVCRT.dll,strcmp,0x4040cc
MSVCRT.dll,time,0x4040d0
MSVCRT.dll,free,0x4040d4
MSVCRT.dll,__dllonexit,0x4040d8
MSVCRT.dll,_onexit,0x4040dc
MSVCRT.dll,_exit,0x4040e0
MSVCRT.dll,_XcptFilter,0x4040e4
MSVCRT.dll,exit,0x4040e8
MSVCRT.dll,_acmdln,0x4040ec
MSVCRT.dll,__getmainargs,0x4040f0
MSVCRT.dll,_initterm,0x4040f4
MSVCRT.dll,__setusermatherr,0x4040f8
MSVCRT.dll,_adjust_fdiv,0x4040fc
MSVCRT.dll,__p__commode,0x404100
MSVCRT.dll,__p__fmode,0x404104
MSVCRT.dll,_strnicmp,0x404108
WININET.dll,HttpAddRequestHeadersA,0x404128
WININET.dll,HttpOpenRequestA,0x40412c
WININET.dll,HttpEndRequestA,0x404130
WININET.dll,InternetWriteFile,0x404134
WININET.dll,HttpSendRequestA,0x404138
WININET.dll,InternetReadFile,0x40413c
WININET.dll,HttpQueryInfoA,0x404140
WININET.dll,InternetAttemptConnect,0x404144
WININET.dll,InternetCloseHandle,0x404148
WININET.dll,InternetConnectA,0x40414c
WININET.dll,InternetOpenA,0x404150
WININET.dll,HttpSendRequestExA,0x404154
WS2_32.dll,gethostbyname,0x40415c
WS2_32.dll,inet_ntoa,0x404160
WS2_32.dll,WSAStartup,0x404164
WS2_32.dll,gethostname,0x404168
